Area,Item,Element,Unit,Amount
Albania,Fertilizers Manufacturing,Emissions (N2O),kilotonnes,0
Albania,Fertilizers Manufacturing,Emissions (CO2),kilotonnes,0
Albania,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kilotonnes,0
Albania,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kilotonnes,0
Albania,On-farm electricity use,Emissions (CH4),kilotonnes,0.1385
Albania,On-farm electricity use,Emissions (N2O),kilotonnes,0.0008
Albania,On-farm electricity use,Emissions (CO2),kilotonnes,1.8023
Albania,On-farm electricity use,Emissions (CO2eq) from CH4 (AR5),kilotonnes,3.878
Albania,On-farm electricity use,Emissions (CO2eq) from N2O (AR5),kilotonnes,0.212
Albania,On-farm electricity use,Emissions (CO2eq) (AR5),kilotonnes,5.8923
Albania,Food Processing,Emissions (CH4),kilotonnes,0.294
Albania,Food Processing,Emissions (N2O),kilotonnes,0.0019
Albania,Food Processing,Emissions (CO2),kilotonnes,68.9314
Albania,Food Processing,Emissions (CO2eq) from CH4 (AR5),kilotonnes,8.232
Albania,Food Processing,Emissions (CO2eq) from N2O (AR5),kilotonnes,0.4926
Albania,Food Processing,Emissions (CO2eq) (AR5),kilotonnes,77.656
Albania,Food Packaging,Emissions (CH4),kilotonnes,0.0345
Albania,Food Packaging,Emissions (N2O),kilotonnes,0.0004
Albania,Food Packaging,Emissions (CO2),kilotonnes,17.6388
Albania,Food Packaging,Emissions (CO2eq) from CH4 (AR5),kilotonnes,0.966
Albania,Food Packaging,Emissions (CO2eq) from N2O (AR5),kilotonnes,0.1037
Albania,Food Packaging,Emissions (CO2eq) (AR5),kilotonnes,18.7085
Albania,Food Retail,Emissions (CH4),kilotonnes,0.1987
Albania,Food Retail,Emissions (N2O),kilotonnes,0.0012
Albania,Food Retail,Emissions (CO2),kilotonnes,18.5149
Albania,Food Retail,Emissions (CO2eq) from F-gases (AR5),kilotonnes,102.7405
Albania,Food Retail,Emissions (CO2eq) from CH4 (AR5),kilotonnes,5.5636
Albania,Food Retail,Emissions (CO2eq) from N2O (AR5),kilotonnes,0.3111
Albania,Food Retail,Emissions (CO2eq) (AR5),kilotonnes,127.1301
Albania,Food Household Consumption,Emissions (CH4),kilotonnes,1.4049
Albania,Food Household Consumption,Emissions (N2O),kilotonnes,0.0074
